"","Eps","n","Sstar","Estimator","value","Measure"
"128",0.2,50,"pi/2","Trimmed
Mean",0.0185576951628037,"MSE"
"129",0.05,100,"pi/2","Trimmed
Mean",0.00166407866447516,"MSE"
"130",0.1,100,"pi/2","Trimmed
Mean",0.00165124657767398,"MSE"
"131",0.15,100,"pi/2","Trimmed
Mean",0.00513262111724187,"MSE"
"132",0.2,100,"pi/2","Trimmed
Mean",0.0172211130730734,"MSE"
"133",0.05,20,"pi","Trimmed
Mean",0.00848741642924664,"MSE"
"134",0.1,20,"pi","Trimmed
Mean",0.00823067057913055,"MSE"
"135",0.15,20,"pi","Trimmed
Mean",0.00996816717790853,"MSE"
"136",0.2,20,"pi","Trimmed
Mean",0.0120884175937818,"MSE"
"137",0.05,50,"pi","Trimmed
Mean",0.00336948536824327,"MSE"
"138",0.1,50,"pi","Trimmed
Mean",0.00332753627184697,"MSE"
"139",0.15,50,"pi","Trimmed
Mean",0.00377895495974313,"MSE"
"140",0.2,50,"pi","Trimmed
Mean",0.0044942247075552,"MSE"
"141",0.05,100,"pi","Trimmed
Mean",0.00159076860611721,"MSE"
"142",0.1,100,"pi","Trimmed
Mean",0.0016574958348333,"MSE"
"143",0.15,100,"pi","Trimmed
Mean",0.00190974830875695,"MSE"
"144",0.2,100,"pi","Trimmed
Mean",0.0022978117932004,"MSE"
"145",0.05,20,"pi/2","Median",0.0095086766650405,"MSE"
"146",0.1,20,"pi/2","Median",0.010471008088711,"MSE"
"147",0.15,20,"pi/2","Median",0.0129735689693592,"MSE"
"148",0.2,20,"pi/2","Median",0.0166350081118506,"MSE"
"149",0.05,50,"pi/2","Median",0.00393889590754617,"MSE"
"150",0.1,50,"pi/2","Median",0.00496821586630682,"MSE"
"151",0.15,50,"pi/2","Median",0.00618945460161545,"MSE"
"152",0.2,50,"pi/2","Median",0.00946956877097891,"MSE"
"153",0.05,100,"pi/2","Median",0.00216175647149084,"MSE"
"154",0.1,100,"pi/2","Median",0.0029961386860035,"MSE"
"155",0.15,100,"pi/2","Median",0.00460911917903096,"MSE"
"156",0.2,100,"pi/2","Median",0.00758967415597784,"MSE"
"157",0.05,20,"pi","Median",0.00991471046489171,"MSE"
"158",0.1,20,"pi","Median",0.0102935164094561,"MSE"
"159",0.15,20,"pi","Median",0.0110600602730738,"MSE"
"160",0.2,20,"pi","Median",0.012014681503988,"MSE"
"161",0.05,50,"pi","Median",0.00385975638661438,"MSE"
"162",0.1,50,"pi","Median",0.00412316075733443,"MSE"
"163",0.15,50,"pi","Median",0.00440146356392809,"MSE"
"164",0.2,50,"pi","Median",0.00461378108966043,"MSE"
"165",0.05,100,"pi","Median",0.00189344708183265,"MSE"
"166",0.1,100,"pi","Median",0.00201669896925953,"MSE"
"167",0.15,100,"pi","Median",0.00215305441625463,"MSE"
"168",0.2,100,"pi","Median",0.00238410746102575,"MSE"
"169",0.05,20,"pi/2","Mean",0.0102175299802991,"MSE"
"170",0.1,20,"pi/2","Mean",0.0186870957193424,"MSE"
"171",0.15,20,"pi/2","Mean",0.0371769018983413,"MSE"
"172",0.2,20,"pi/2","Mean",0.0646099702996415,"MSE"
"173",0.05,50,"pi/2","Mean",0.00462458157553898,"MSE"
"174",0.1,50,"pi/2","Mean",0.0145993177504399,"MSE"
"175",0.15,50,"pi/2","Mean",0.0271274926325921,"MSE"
"176",0.2,50,"pi/2","Mean",0.0580538319490888,"MSE"
"177",0.05,100,"pi/2","Mean",0.00416904231630343,"MSE"
"178",0.1,100,"pi/2","Mean",0.0130295330440634,"MSE"
"179",0.15,100,"pi/2","Mean",0.0295917544991114,"MSE"
"180",0.2,100,"pi/2","Mean",0.0570919413434252,"MSE"
"181",0.05,20,"pi","Mean",0.00845489206710567,"MSE"
"182",0.1,20,"pi","Mean",0.00952148990041764,"MSE"
"183",0.15,20,"pi","Mean",0.0113619373994138,"MSE"
"184",0.2,20,"pi","Mean",0.0144722648555342,"MSE"
"185",0.05,50,"pi","Mean",0.00335753957807951,"MSE"
"186",0.1,50,"pi","Mean",0.00388395186488456,"MSE"
"187",0.15,50,"pi","Mean",0.00455837663754019,"MSE"
"188",0.2,50,"pi","Mean",0.00542149244581345,"MSE"
"189",0.05,100,"pi","Mean",0.00159626966611497,"MSE"
"190",0.1,100,"pi","Mean",0.00196650645785782,"MSE"
"191",0.15,100,"pi","Mean",0.00226743912942464,"MSE"
"192",0.2,100,"pi","Mean",0.00284910935418255,"MSE"
