"","Eps","n","Sstar","Estimator","value","Measure"
"163",0.15,50,"pi","Median",0.0056618408444317,"MSE"
"164",0.2,50,"pi","Median",0.00730886064295454,"MSE"
"165",0.05,100,"pi","Median",0.00203627719354476,"MSE"
"166",0.1,100,"pi","Median",0.00245694259816166,"MSE"
"167",0.15,100,"pi","Median",0.00290244825601237,"MSE"
"168",0.2,100,"pi","Median",0.00356705765763316,"MSE"
"169",0.05,20,"pi/2","Mean",0.0141176580797594,"MSE"
"170",0.1,20,"pi/2","Mean",0.0327047168735343,"MSE"
"171",0.15,20,"pi/2","Mean",0.0642537405717312,"MSE"
"172",0.2,20,"pi/2","Mean",0.107736072507262,"MSE"
"173",0.05,50,"pi/2","Mean",0.0071714578542079,"MSE"
"174",0.1,50,"pi/2","Mean",0.0281608767456132,"MSE"
"175",0.15,50,"pi/2","Mean",0.0512341474654241,"MSE"
"176",0.2,50,"pi/2","Mean",0.100267209089918,"MSE"
"177",0.05,100,"pi/2","Mean",0.00789256372173384,"MSE"
"178",0.1,100,"pi/2","Mean",0.0264428455640584,"MSE"
"179",0.15,100,"pi/2","Mean",0.0564750388621627,"MSE"
"180",0.2,100,"pi/2","Mean",0.0984936961249987,"MSE"
"181",0.05,20,"pi","Mean",0.0301100342492601,"MSE"
"182",0.1,20,"pi","Mean",0.0611250050283006,"MSE"
"183",0.15,20,"pi","Mean",0.127699512967847,"MSE"
"184",0.2,20,"pi","Mean",0.21295168267328,"MSE"
"185",0.05,50,"pi","Mean",0.0108039245549399,"MSE"
"186",0.1,50,"pi","Mean",0.0385638115657719,"MSE"
"187",0.15,50,"pi","Mean",0.0834787444190673,"MSE"
"188",0.2,50,"pi","Mean",0.227033864217993,"MSE"
"189",0.05,100,"pi","Mean",0.00817460729535273,"MSE"
"190",0.1,100,"pi","Mean",0.0252846146057728,"MSE"
"191",0.15,100,"pi","Mean",0.0846644495990292,"MSE"
"192",0.2,100,"pi","Mean",0.228020634485069,"MSE"
